City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
283,Baghdad,IQ,33.34,44.4,102.11,19,75,12.66,broken clouds
284,Mangan,IN,27.52,88.53,73.89,90,53,3.29,broken clouds
285,Diglur,IN,18.55,77.6,74.82,87,100,5.77,light rain
286,Sarakhs,IR,36.54,61.16,85.55,14,0,7.43,clear sky
287,Dongsheng,CN,39.82,109.98,50.5,83,100,20.8,overcast clouds
288,Vagur,FO,61.47,-6.81,53.65,96,100,26.71,light rain
289,Voh,NC,-20.97,164.7,69.53,89,4,4.07,clear sky
290,Mapiripan,CO,2.89,-72.13,83.19,70,100,1.16,moderate rain
291,Buluang,PH,13.31,123.34,77.85,90,100,3.67,overcast clouds
292,Port Blair,IN,11.67,92.75,78.84,89,40,5.75,mist
293,Bay-Khaak,RU,51.17,94.5,48.92,52,51,5.21,broken clouds
294,Mackay,AU,-21.15,149.2,74.68,86,76,8.21,broken clouds
295,Katangli,RU,51.71,143.23,50.25,70,4,13.98,clear sky
296,Omboue,GA,-1.57,9.26,80.73,71,89,9.98,overcast clouds
297,Dauphin,CA,51.15,-100.05,48.34,88,100,12.66,overcast clouds
298,Asau,RO,46.43,26.4,60.28,83,100,3.06,overcast clouds
299,Lebowakgomo,ZA,-24.2,29.5,65.3,57,93,11.32,overcast clouds
300,Riviere-Au-Renard,CA,49.0,-64.4,52.09,90,100,5.7,overcast clouds
301,Atar,MR,20.52,-13.05,104.43,17,69,19.42,broken clouds
302,Mahanoro,MG,-19.9,48.8,73.15,73,2,5.01,clear sky
303,Salvador,SV,13.83,-88.92,72.05,98,100,0.94,overcast clouds
304,Margate,GB,51.38,1.39,64.69,68,37,1.99,scattered clouds
305,Volchikha,RU,52.03,80.38,63.91,50,3,6.93,clear sky
306,Awjilah,LY,29.11,21.29,106.5,8,3,12.46,clear sky
307,Balkanabat,TM,39.51,54.37,92.68,12,7,6.49,clear sky
308,Geraldton,AU,-28.77,114.6,54.01,87,100,3.44,overcast clouds
309,Guaruja,BR,-23.99,-46.26,70.9,39,100,5.99,overcast clouds
310,Lagoa,PT,39.05,-27.98,73.83,79,53,10.83,broken clouds
311,Huejuquilla El Alto,MX,22.6,-103.87,61.61,66,4,4.16,clear sky
312,Atherton,GB,53.52,-2.49,66.06,65,100,1.99,overcast clouds
313,Macultepec,MX,18.17,-92.83,76.08,90,75,0.0,broken clouds
314,Ray,IN,23.68,85.05,79.57,93,56,6.8,broken clouds
315,Batagay,RU,67.63,134.63,30.49,94,100,10.42,light snow
316,Obo,CF,5.4,26.49,80.01,78,74,2.71,light rain
317,Port Shepstone,ZA,-30.74,30.46,63.63,68,37,4.9,scattered clouds
318,Cidreira,BR,-30.18,-50.21,64.54,77,85,6.73,overcast clouds
319,Rio Gallegos,AR,-51.62,-69.22,42.85,65,0,19.57,clear sky
320,Kushima,JP,31.46,131.23,67.23,84,100,6.51,overcast clouds
